author_id,cluster_id,cluster_confidence,cluster_bot_probability,individual_bot_probability,final_bot_probability,classification
UCwafn9jFUXZD6_EmGlaMjwg,9,0.7166666666666667,0.15834977561872696,0.11499999999999999,0.14100986537123616,likely_human
UCwnSECS-y2cYlt9calDAIzw,-1,0.0,0.0,0.11249999999999999,0.045,likely_human
UCwsNrEYUpNKc_sJdVguokUQ,4,0.4968152866242038,0.1559904724772391,0.1149505873817826,0.1395745184390565,likely_human
UCx2yvtavUmnwICudbmjlj-w,-1,0.0,0.0,0.11346439344671017,0.04538575737868407,likely_human
UCx6huyw_uApj_DP6fbxSSGg,-1,0.0,0.0,0.1144770277922009,0.04579081111688036,likely_human
UCxBXc2T8ce2gq-jgS4v5a5Q,9,0.6916666666666667,0.15834977561872696,0.11499999999999999,0.14100986537123616,likely_human
UCxBa1emJP6GsRRYCD2syvYw,12,0.4351851851851852,0.15230680671589877,0.11499999999999999,0.13738408402953928,likely_human
UCxEKKGmiwS-MJ7AfJNvEVqw,14,0.5208333333333334,0.15845763608194546,0.11499999999999999,0.14107458164916728,likely_human
UCxH-mkWoBCOQy9BE4CXmKbQ,-1,0.0,0.0,0.20421928094887362,0.08168771237954946,likely_human
UCxIF5MdkMUpqCEJURdzx-tA,-1,0.0,0.0,0.11610497237569062,0.04644198895027625,likely_human
UCxMFnQHv5ZNxyOC5--fPXiA,-1,0.0,0.0,0.11547355958958169,0.04618942383583268,likely_human
UCxMFrwdlMKAqz7fn1zxSPNw,-1,0.0,0.0,0.11499999999999999,0.046,likely_human
UCxbP_P58qLLGGhfwZv3bLlg,5,0.48,0.1557897368900654,0.11594711917916337,0.1398526898057046,likely_human
UCxcakz10zfDCQS2iXJty6Aw,-1,0.0,0.0,0.11578926598263614,0.04631570639305446,likely_human
UCxgld-m_BQj1UKhEDnwQENA,9,0.6916666666666667,0.15834977561872696,0.11499999999999999,0.14100986537123616,likely_human
UCxh0d_JVk-4qZHbtA65W2fw,-1,0.0,0.0,0.10606169849289371,0.04242467939715749,likely_human
UCxiQ5PZLh1WG3sFNKOM09RA,-1,0.0,0.0,0.12055819521178637,0.04822327808471455,likely_human
UCxnI1W6z1U8Pp-e6M23zFzA,-1,0.0,0.0,0.45499999999999996,0.182,likely_human
UCxrBfmoNS2oDqnebvHHureQ,10,0.4642857142857143,0.2881910477871575,0.3963143157815612,0.331440354984919,likely_human
UCxtCkciwmG3VNpqOZviGpMQ,-1,0.0,0.0,0.11499999999999999,0.046,likely_human
UCxw3VOlP6MoUsDk_nAWS7nQ,-1,0.0,0.0,0.27521005516027963,0.11008402206411186,likely_human
UCy2eZB-War59oy1IWpaC7-A,-1,0.0,0.0,0.4561049723756906,0.18244198895027625,likely_human
UCy4Orn9NcNl8BDb6hjGMntQ,-1,0.0,0.0,0.11578926598263614,0.04631570639305446,likely_human
UCy7gaCin-3Q7VIdPdCGE56w,-1,0.0,0.0,0.39619592588416586,0.15847837035366635,likely_human
UCy7qJCJvz7R7xvQct4RzwUQ,4,0.4968152866242038,0.1559904724772391,0.11499999999999999,0.13959428348634345,likely_human
UCyBd67fUrXRtxuuQmlrT1xQ,16,0.42857142857142855,0.3227265656527693,0.4552367797947908,0.37573065130957795,likely_human
UCyDPSCxiTuSI4jmdEv0QRUQ,17,0.4444444444444445,0.15868235764644603,0.11499999999999999,0.14120941458786762,likely_human
UCyEaC0-8SXuidk467qW3M_g,-1,0.0,0.0,0.08503333333333332,0.03401333333333333,likely_human
UCyKZko1XoiYozhUhNL_-EZQ,9,0.6583333333333332,0.15834977561872696,0.11499999999999999,0.14100986537123616,likely_human
UCyLwXibalXoJ3Bg69tLSEbg,-1,0.0,0.0,0.11499999999999999,0.046,likely_human
UCyP-2eAkyMiXB3jCBMl-dEQ,-1,0.0,0.0,0.45578926598263614,0.18231570639305447,likely_human
UCyQuKnhtiYi244hXhZAYKFw,-1,0.0,0.0,0.14809399832241876,0.05923759932896751,likely_human
UCyX3fypUTfO--NnPN8ris0w,-1,0.0,0.0,0.3022258467023173,0.12089033868092691,likely_human
UCyZwVF7_PpoZSR-9225yELQ,-1,0.0,0.0,0.11499999999999999,0.046,likely_human
UCyi4HWpphXKkWnZTFsa7mEg,5,0.48,0.1557897368900654,0.11499999999999999,0.13947384213403924,likely_human
UCypYYY735u-VItn9HJThHqw,-1,0.0,0.0,0.45499999999999996,0.182,likely_human
UCyvhXE5Bz2aBgu8iy61A81g,-1,0.0,0.0,0.12052486187845304,0.04820994475138122,likely_human
UCz40_48Y8xHoet-wU4D3mEA,15,0.4444444444444444,0.15231481481481482,0.11499999999999999,0.1373888888888889,likely_human
UCz5LAR-KI-WSb3P5PN302cA,-1,0.0,0.0,0.11610497237569062,0.04644198895027625,likely_human
UCz5iAKAGGU4h4S-BAvnRfZw,-1,0.0,0.0,0.17503333333333332,0.07001333333333333,likely_human
UCz8wJJjw_RGcy2QHzmEWKRA,4,0.4968152866242038,0.1559904724772391,0.11499999999999999,0.13959428348634345,likely_human
UCzEjr_i0Zw5KTEAubzJIkww,-1,0.0,0.0,0.45507892659826366,0.18203157063930547,likely_human
UCzJgClz4DQOfsh5FD8jV3Gw,-1,0.0,0.0,0.4559471191791634,0.18237884767166537,likely_human
UCzUyB4MN-BxrXHZhAvFZMbQ,3,0.4682539682539682,0.15232342120991874,0.11515785319652722,0.13745719400456213,likely_human
UCzWpw0a7V71YaAdlj7JYBtQ,-1,0.0,0.0,0.11499999999999999,0.046,likely_human
UCzjQcPz9q6Q7CCvyRCLqBvg,-1,0.0,0.0,0.1144770277922009,0.04579081111688036,likely_human
UCzjWOqJRJXn7DAhZV90HpEQ,13,0.5416666666666667,0.1583918639167258,0.11499999999999999,0.14103511835003546,likely_human
UCznTdtYHCMOq-xvxA27FCeg,-1,0.0,0.0,0.11251629167387822,0.04500651666955129,likely_human
UCzpCeavpH8HYfBF4fRVzrFA,5,0.48,0.1557897368900654,0.11499999999999999,0.13947384213403924,likely_human
UCzy-zxaWmyC0Y77ke8_uSvA,-1,0.0,0.0,0.11307354922057605,0.045229419688230424,likely_human
UCzy6T5fKi-oGuR6l_n6mw9w,-1,0.0,0.0,0.11910418310970797,0.04764167324388319,likely_human
UCzyM-sd1U_z-8S96ozv-81w,-1,0.0,0.0,0.45499999999999996,0.182,likely_human
